guid,expression,meaning,kana,notes,tags
jKf#{M)^;u,十二時半です。,(It) is half past twelve.,じゅうにじはんです,,Japanese::Sentences
LA^K?S?CF5,学生です。,(I) am a student.,がくせいです,,Japanese::Sentences
bUeC~s+iC6,日本語です。,(My major) is the Japanese language.,,,Japanese::Sentences
Fd=F8}p~O`,私はスー・キムです。,I am Sue Kim.,,,Japanese::Sentences
i7?iW2Ud#i,山下さんは先生です。,Mr. Yamashita is a teacher.,やましたさんはせんせいです,,Japanese::Sentences
l_+#v%-TNj,メアリーさんはアメリカ人です。,Mary is an American,メアリーさんはアメリカじんです,,Japanese::Sentences
f~vx<VSv?:,専攻は何ですか。,What is your major?,せんこうはなにですか,"Use なん, with counters or です. Use なに before particles and なんじん (person of what nationality).",Japanese::Sentences
g%O@}Xe~LX,今何時ですか。,What time is it now?,いまなんじですか,"Use なん, with counters or です. Use なに before particles and なんじん (person of what nationality).",Japanese::Sentences
l9&5Gdg35a,（今）九時です。,It is nine o'clock.,（いま）きゅうじです,,Japanese::Sentences
lmKU}bYi]z,メアリーさんは何歳ですか。,"How old are you, Mary?",メアリーさんはなんさいですか,"Use なん, with counters or です. Use なに before particles and なんじん (person of what nationality).",Japanese::Sentences
iK)@:~d~>R,十九歳です。,I am nineteen years old.,じゅうきゅうさいです,,Japanese::Sentences
j=zH<iT0IH,電話番号は何ですか。,What is your telephone number?,でんわばんごうはなにですか。,"Use なん, with counters or です. Use なに before particles and なんじん (person of what nationality).",Japanese::Sentences
b[`|_4V0m%,１８６の７３４３です。,It is 186-7343.,,,Japanese::Sentences
N-`~y_HnIL,武さんのお母さんは高校の先生です。,Takeshi's mother is a high school teacher.,たけさんのおかあさんはこうこうのせんせいです。,,Japanese::Sentences
A@bVg>A7?Y,これはいくらですか。,How much is this?,,,Japanese::Sentences
v+FWYVnOf^,それは三千円です。,"That is 3,000 yen.",,,Japanese::Sentences
As1fb{sflT,あれは私のぺんです。,That is my pen.,,,Japanese::Sentences
jK([m|{%Wq,これは私のぺんです。,This is my pen.,,,Japanese::Sentences
Q|Wgp;.Ova,それは私のぺんです。,That is my pen.,,,Japanese::Sentences
xkvR{77%m,どれですか。,Which one is it (that you are talking about)?,,,Japanese::Sentences
x@!J0f*aw|,どれがあなたのぺんですか。,Which one is your pen?,,どれ and 何 cannot be followed by particle は,Japanese::Sentences
"y^7~,MLV4B",この時計はいくらですか。,How much is this watch?,このとけいはいくらですか。,,Japanese::Sentences
KWmm/zJE3S,その時計は三千円です。,"That watch is 3,000 yen.",そのとけいは三せん円です。,,Japanese::Sentences
k&Snc=p85z,あの時計は三千五百円です。,"That watch over there is 3,500 yen.",あのとけいは三千五百円です。,,Japanese::Sentences
F_i=B.};9@,どの時計が三千五百円ですか。,"Which watch is 3,500 yen?",どのとけいが三千五百円ですか。,question words like どの cannot be followed by particle は,Japanese::Sentences
caXXw>S57k,すみません。郵便局はどこですか。,Excuse me. Where is the post office?,すみません。 ゆうびんきょくはどこですか。,,Japanese::Sentences
n$I3RB8v)`,これはだれのかばんですか。,Whose bag is this?,,,Japanese::Sentences
"z,}l0E(?1a",それはスーさんのかばんです。,That is Sue's bag.,,,Japanese::Sentences
K3%pqp$sT*,武さんは日本人です。,Takeshi is a Japanese person.,たけしさんは日本人です。,,Japanese::Sentences
hN0?J3@V~H,美智子さんも日本人です。,"Michiko is Japanese, too.",みちこさんも日本人です。,,Japanese::Sentences
vS96U-eFz:,山田さんは学生じゃないです。,Mr. Yamada is not a student.,やまださんはがくせいじゃないです。,,Japanese::Sentences
e%:pQJ8|M{,山田さんは学生じゃありません。,Mr. Yamada is not a student.,やまださんはがくせいじゃありません。,,Japanese::Sentences
K]qa=[1{%R,山田さんは学生じゃないです。,Mr. Yamada is not a student.,やまださんはがくせいじゃないです。,,Japanese::Sentences
F|CryHiZ/0,これは肉じゃないですね。,"This is not meat, is it?",これはにくじゃないですね。,,Japanese::Sentences
HK0k&o+7ge,じゃあ、その時計を下さい。,"Then, I'll take that watch.",じゃあ、そのとけいをください。,,Japanese::Sentences
w2nZd-/]?>,じゃあ、これをお願いします。,"Then, I'll have this.",じゃあ、これをおねがいします。,,Japanese::Sentences
GEu_X1TFN~,和はよくテレビを見ます。,I often watch TV.,わはよくテレビをみます。,,Japanese::Sentences
FcCMWwMaE>,メアリーさんは時々朝ご飯を食べません。,Mary sometimes doesn't eat breakfast.,メアリーさんはときどきあさごはんをたべません。,,Japanese::Sentences
GILbM]i#oV,私は明日京都に行きます。,I will go to Kyoto tomorrow.,わたしはあしたきょうとにいきます。,,Japanese::Sentences
sezEuG{B`6,スーさんは今日家に帰りません。,Sue will not return home today.,スーさんはきょうかにかえりません。,Neg,Japanese::Sentences
"FZB^z,$*e~",コーヒーを飲みます。,I drink coffee.,コーヒーをのみます。,,Japanese::Sentences
JV$w!2eF}F,音楽を聞きます。,I listen to music.,おんがくをききます。,,Japanese::Sentences
b[Ap[[MT*2,テレビを見ます。,I watch TV.,テレビをみます。,,Japanese::Sentences
HW)2fn2tr_,図書館で本を読みます。,I will read books in the library.,としょかんで 本ほんをよみます。,,Japanese::Sentences
xiPm}qa/@G,家でテレビを見ます。,I will watch TV at home.,いえでテレビをみます。,,Japanese::Sentences
%uGs-yk~U,私は今日学校に行きません。,I will not go to school today.,わたしはきょうがっこうにいきません。,に would work here too,Japanese::Sentences
q+*Q(3XM5,私は家に帰ります。,I will return home.,わたしはいえにかえります。,へ would work here too,Japanese::Sentences
GTztuv($h8,日曜日に京都に行きます。,I will go to Kyoto on Sunday.,にちようびにきょうとにいきます。,,Japanese::Sentences
"c@&!K:RR,`",十一時に寝ます。,I will go to bed at eleven.,十一じにねます。,,Japanese::Sentences
D321r+BJ?$,四時ごろ（に）寝ます。,I will go to bed at about four o'clock.,じごろ（に）ねます。,,Japanese::Sentences
IU$Vn|@f>_,火曜日に行きます。,I will go on Tuesday.,かようびにいきます。,,Japanese::Sentences
hm!~0(|t*I,十時四十五分に起きます。,I get up at 10:45.,十じ四十五ふんにおきます。,,Japanese::Sentences
DiZbnv/yRb,九月に帰ります。,I will go back in September.,くがつにかえります。,,Japanese::Sentences
tPGCAOj?r-,明日来ます。,I will come tomorrow.,あしたきます。,,Japanese::Sentences
x&m7~FogR),毎晩テレビを見ます。,I watch TV every evening.,まいばんテレビをみます。,,Japanese::Sentences
p#Uu7:A=Bi,朝（に）新聞を読みます。,I read the newspaper in the morning.,あさ（に） しんぶんをよみます。,,Japanese::Sentences
Or<o{xfB5b,週末（に）何をしますか。,What will you do on weekends?,しゅうまつ（に） なにをしますか。,,Japanese::Sentences
E%Gel?SGB^,昼ご飯を食べませんか。,What do you say to having lunch with me?,ひるごはんをたべませんか。,,Japanese::Sentences
dE}wJ*g+|e,いいですね。,Sounds great.,いいですね。,,Japanese::Sentences
CNe[GLMfmd,テニスをしませんか。,Will you play tennis with me?,テニスをしませんか。,,Japanese::Sentences
G|%Ns.!P<;,うーん、ちょうと。,"Um, it's slightly (inconvenient for me at this moment),",うーん、ちょうと。,,Japanese::Sentences
Pc(@eR7p_a,私は時々喫茶店に行きます。,I sometimes go to a coffee shop.,わたしはときどききっさてんにいきます。,,Japanese::Sentences
OM]7eBHb8Q,私は残念テレビを見ません。,I do not watch TV at all.,わたしはざんねんテレビをみません。,,Japanese::Sentences
zH@1Rm.~6{,武さんはあまり勉強しません。,Takeshi does not study much.,たけさんはあまりべんきょうしません。,,Japanese::Sentences
B{t_Pw?&pJ,メアリーさん、週末はたいてい、何をしますか。,"Mary, what do you usually do on the weekend?",メアリーさん、しゅうまつはたいてい、なにをしますか。,,Japanese::Sentences
"EzJ#,QF!dt",今日は京都に行きます。,I'm going to Kyoto today.,きょうは 京都きょうとにいきます。,,Japanese::Sentences
m==|&k^4Vd,晩ご飯は？,How about dinner?,ばんごはんは？,,Japanese::Sentences
M3HamGfGJW,ちょっと下さい。,Please give me a little.,ちょっとください。,,Japanese::Sentences
dEFpu<gC*=,ちょっと待ってください。,Please wait a moment.,ちょっとまってください。,,Japanese::Sentences
gfU9-$8Fct,A:　土曜日に映画をみませんか。,Saturday is not convenient,どようびにえいがをみませんか。,,Japanese::Sentences
HF-A&aYa2(,あそこにマクルドナルドがあります。,There's a McDonald's over there.,,,Japanese::Sentences
K?iQ.`KTH(,テレビがありません。,I don't have a TV.,,,Japanese::Sentences
QV@!<@b}0j,テレビじゃありません。,It isn't a TV.,,,Japanese::Sentences
D<wiSfNB:O,時間がありますか。,Do you have time?,じかんがありますか。,,Japanese::Sentences
p>QDZ8cWU2,火曜日にテストがあります。,There will be an exam on Tuesday.,かようびにテストがあります。,,Japanese::Sentences
CgU<k;l%~|,明日は日本語のクラスがありません。,There will be no Japanese class tomorrow.,あしたはにほんごのクラスがありません。,,Japanese::Sentences
"nw,><IxxeJ",明日京都でお祭りがあります。,There will be a festival in Kyoto,あしたきょうとでおまつりがあります。,,Japanese::Sentences
I-{_|`6jy2,あそこに留学生がいます。,There's an international student over there.,あそこにりゅうがくせいがいます。,,Japanese::Sentences
Lt}90?Fy=a,日本人の友達がいます。,I have a Japanese friend.,にっぽんじんのともだちがいます。,,Japanese::Sentences
C?wNiuC!]+,体育館はどこですか。,Where's the gym?,たいいくかんはどこですか。,,Japanese::Sentences
h%l!v#M${/,（銀行は）あのデパートの前です。,(The bank) is in front of that department store.,（ぎんこうは）あのデパートのまえです。,,Japanese::Sentences
yDIH3|H9]r,銀行は図書館の隣です。,The bank is next to the library.,ぎんこうはとしょかんのとなりです。,,Japanese::Sentences
xHH6e>Zo/V,傘はテーブルのそばです。,The umbrella is by the table.,かさはテーブルのそばです。,,Japanese::Sentences
FX2qU.=sQ!,レストランはデパートと病院の間です。,The restaurant is between the department store and the hospital.,レストランはデパートとびょういんのまです。,,Japanese::Sentences
bN|%*1}By$,私はモスバーガーの向いでメアリーさんを待ちました。,I waited for Mary across the street from the Mos Burger place.,わたしはモスバーガーのむかいでメアリーさんをまちました。,,Japanese::Sentences
O)ZQ+{pg{z,山下先生は桜大学の学生でした。,Mr. Yamashita was a student at Sakura University.,やましたせんせいはさくらだいがくのがくせいでした。,,Japanese::Sentences
ptsV^.zU]v,あれは日本の映画じゃなかったです。,That was not a Japanese movie.,あれはにっぽんのえいがじゃなかったです。,,Japanese::Sentences
EW=XIN9.{O,メアリーさんは九時ごろ家に帰りました。,Mary returned home at about nine.,メアリーさんは九じごろかにかえりました。,,Japanese::Sentences
kKnQ9nQQu:,私は昨日日本語を勉強しませんでした。,I did not study Japanese yesterday.,わたしはきのうにほんごをべんきょうしませんでした。,,Japanese::Sentences
ij!@3V4N(),私は昨日京都に行きました。,I went to Kyoto yesterday.,わたしはきのうきょうとにいきました。,,Japanese::Sentences
jia<C[Vxyr,山下先生も昨日京都に行きました。,"Professor Yamashita went to Kyoto yesterday, too.",やましたせんせいもきのうきょうとにいきました。,,Japanese::Sentences
s4r|.85[}f,メアリーさんは靴を買います。,"Mary bought shoes,",メアリーさんはくつをかいます。,,Japanese::Sentences
ijvoE~cm|{,メアリーさんはかばんも買いました。,Mary bought a bag too.,メアリーさんはかばんもかいました。,,Japanese::Sentences
yFmuyh81!*,私は先週京都に行きました。,I went to Kyoto last week.,わたしはせんしゅうきょうとにいきました。,,Japanese::Sentences
j}2+5p?AxN,大阪にも行きました。,"I went to Osaka, too.",おおさかにもいきました。,,Japanese::Sentences
wJC2g89<?C,ロバートさんは土曜日にパーテイーに来ました。,Robert came to the party on Saturday.,ロバートさんはどようびにパーテイーにきました。,,Japanese::Sentences
N<vdB:Q<)4,日曜日にもパーテイーに行きました。,"He went to a party on Sunday, too.",にちようびにもパーテイーにいきました。,,Japanese::Sentences
lWg3k(`<?H,メアリーさんはそこで武さんを一時間待ちました。,Mary waited for Takeshi there for an hour.,メアリーさんはそこでたけさんを一じかんまちました。,,Japanese::Sentences
oxYWn?3?^w,私は昨日日本語を三時間ぐらい勉強しました。,I studied Japanese for about three hourse yesterday.,わたしはきのうにほんごを三じかんぐらいべんきょうしました。,,Japanese::Sentences
bgJ{0i|iHo,昨日七時間半寝ました。,(I) slept for seven and a half hours last night.,きのう七じかんはんねました。,,Japanese::Sentences
d*gnfFnrTr,私は京都で写真をたくさん撮りました。,I took many pictures in Kyoto.,わたしはきょうとでしゃしんをたくさんとりました。,,Japanese::Sentences
t-AbI.T#lq,果物をたくさん食べました。,I ate a lot of fruits.,くだものをたくさんたべました。,,Japanese::Sentences
nWb?#qtFhW,日本語と英語を話します。,I speak Japanese and English.,にほんごとえいごをはなします。,,Japanese::Sentences
KAjo;?u2PX,京都と大阪に行きました。,I went to Kyoto and Osaka.,きょうととおおさかにいきました。,,Japanese::Sentences
QIOs/r<7`6,昨日面白い映画を見ました。,I saw an interesting movie yesterday.,きのうおもしろいえいがをみました。,,Japanese::Sentences
Nay=QES&He,山下先生は怖い先生です。,Professor Yamashita is a scary teacher.,やましたせんせいはこわいせんせいです。,,Japanese::Sentences
"jy;,wz/pg;",京都できれいな写真を撮りました。,I took a beautiful picture in Kyoto.,きょうとできれいなしゃしんをとりました。,,Japanese::Sentences
"QD@~n]k,$D",山下先生は元気な先生です。,Professor Yamashita is an energetic teacher.,やましたせんせいは 元気[げんき]なせんせいです。,,Japanese::Sentences
mGYpxJou[q,沖縄の海はとてもきれいでした。,The sea was very beautiful in Okinawa.,おきなわのうみはとてもきれいでした。,,Japanese::Sentences
k*6ZZ]A(IZ,この部屋はちょっと暑いです。,This room is a little hot.,このへやはちょっとあついです。,,Japanese::Sentences
BHB{Ut#5Dc,ロバートさんは日本語のクラスが好きです。,Robert likes his Japanese classes.,ロバートさんはにほんごのクラスがすきです。,,Japanese::Sentences
uo5^uVP)=s,山下先生は魚がきれいです。,Professor Yamashita dislikes fish.,やましたせんせいはさかながきれいです。,,Japanese::Sentences
mKR5)Lg-lk,私は野菜は好きですが、肉はきれいです。,"I like vegetables, but I don't like meat.",わたしはやさいはすきですが、にくはきれいです。,,Japanese::Sentences
k1H+8<&/8/,たけしさんはメアリーさんのことが好きです。,Takeshi is in love with Mary.,たけしさんはメアリーさんのことがすきです。,In the expression of romantic or familial affection the complex particle のことが can replace が。,Japanese::Sentences
t$s!Y$b>@Z,たけしさんはコーヒーが大好きです。,Takeshi likes coffee a lot.,たけしさんはコーヒーがだいすきです。,,Japanese::Sentences
ut8g1_{b.H,キムさんは納豆が大きれいです。,Ms Kim hates natto (Japanese fermented soybean delicacy).,キムさんはなっとうがだいきれいです。,,Japanese::Sentences
EcBegU)do%,好きでも嫌いでもないです。,I neither like nor dislike (it).,すきでもきらいでもないです。,,Japanese::Sentences
3~$D7<1/d,これは私の好きな本です。,This is my favourite book.,これはわたしのすきなほんです。,,Japanese::Sentences
"Id,TVFVn&S",一緒に図書館で勉強しましょう。,Let's study in the library together.,いっしょにとしょかんでべんきょうしましょう。,,Japanese::Sentences
L}yCcz0yg:,喫茶店でコーヒーを飲みましょうか。,Shall we drink coffee at a coffee shop?,きっさてんでコーヒーをのみましょうか。,,Japanese::Sentences
Ns2l;NR6Q~,リーさんは切手を三枚買いました。,Lee bought three stamps.,リーさんはきってを三まいかいました。,,Japanese::Sentences
"%,KA.8%Z#",教科書を読んでください。,Please read the textbook.,きょうかしょをよんでください。,,Japanese::Sentences
gi~LD@D}*V,すみません。ちょっと教えてください。,Excuse me. Please teach me a little.,すみません。ちょっとおしえてください。,,Japanese::Sentences
i-5}MXfZ@v,窓を開けて。,"Open the window, will you?",まどを開あけて。,"If you are talking to a very close friend or a member of your family, a te-form, by itself, can be used as a request.",Japanese::Sentences
KQ>7S$g?%e,教科書を見てもいいですか。,May I see the textbook?,きょうかしょをみてもいいですか。,"In casual speech, you can drop も and say 食べていいです。",Japanese::Sentences
lTL;xp#Awx,ここで写真を撮ってはいけません。,You must not take pictures here.,ここでしゃしんをとってはいけません。,"は cannot be dropped unlike, も in ～てもいいです。",Japanese::Sentences
x9~)o[Y!~-,ノートを借りて、コピーします。,I will borrow her notebook and photocopy it.,ノートをかりて、コピーします。,,Japanese::Sentences
rkObxLkwqu,今日は、六次に起きて、勉強しました。,Today I got up at six and studied.,きょうは、じにおきて、べんきょうしました。,,Japanese::Sentences
ONnxD8<)Fk,食堂に行って、昼ご飯を食べましょう。,Let's go to the cafeteria and have lunch.,しょくどうにいって、ひるごはんをたべましょう。,,Japanese::Sentences
e(H{mtzt{*,バスに乗って、会社に行きます。,I go to work by bus.,バスにのって、かいしゃにいきます。,,Japanese::Sentences
i[PIk*Xk^A,教科書を忘れて、すみません。,I am sorry for not bringing in the textbook.,きょうかしょをわすれて、すみません。,,Japanese::Sentences
"h,r>C%`2c:",私は今晩勉強します。明日テストがありますから。,I will study this evening. (Because) we will have an exam tomorrow.,わたしはこんばんべんきょうします。あしたテストがありますから。,,Japanese::Sentences
ll/{EsFT[&,バスに乗りましょう。タクシーは高いですから。,Let's go by bus. (Because) taxis are expensive.,バスにのりましょう。タクシーはたかいですから。,,Japanese::Sentences
xNd}MZS?V4,（私が）やりましょうか。,I'll do it.,（わたしが）やりましょうか。,,Japanese::Sentences
G.=>!vA5B5,荷物を持ちましょうか。,Shall I carry your bag?,にもつをもちましょうか。,,Japanese::Sentences
keH>/PT$ZT,スーさんは今勉強しています。,Sue is studying right now.,スーさんはこんべんきょうしています。,,
lm==pR`ESB,たけしさんは英語の本を読んでいます。,Takeshi is reading a book in English.,たけしさんはえいごのほんをよんでいます。,,
mihJpT[v=o,私は英語を教えています。,I teach English. / I am teaching English (right now).,わたしはえいごをおしえています。,,
fGbvk:FW}>,メアリーさんは毎日日本語を勉強しています。,Mary studies Japanese every day.,メアリーさんはまいにちにほんごをべんきょうしています。,,
O.YV~kQ5%H,山下先生は結婚しています。,Professor Yamashita is married.,やましたせんせいはけっこんしています。,,
ppG)G&/fYB,みちこさんは窓の近くに座っています。,Michiko is seated near the window.,みちこさんはまどのちかくにすわっています。,,
n}rHprtFMe,スーさんはお金をたくさん持っています。,Sue has a lot of money.,スーさんはおかねをたくさんもっています。,,
nM/3`oE}:o,山下先生は母を知っています。,Professor Yamashita knows my mother,やましたせんせいはははをしっています。,,
d!g`&u(_?(,トムさんはちょっと太っています。,Tom is a little overweight.,トムさんはちょっとふとっています。,,
Re.9WtVl@Y,私の弟はとても痩せています。,My younger brother is very thin.,わたしのおとうとはとてもやせています。,,
F:KR5uFXyo,メアリーさんはTシャツを着ています。,Mary is wearing / wears a T-shirt.,メアリーさんは Tシャツをきています。,,
N*1B47${wt,お父さんは起きています。,Dad is up and awake.,おとうさんはおきています。,,
bNwDthg]UG,家族は東京に住んでいます。,My family lives in Tokyo.,かぞくはとうきょうにすんでいます。,,
n^el:5@AU5,私の姉は日本の会社に勤めています。,My older sister works for a Japanese company.,わたしの 姉[あね]は 日本[にっぽん]の 会社[かいしゃ]に 勤[つと]めています。,,
ttu]j3g>3C,中国に行っています。,Somebody has gone to / is in China.,ちゅうごくにいっています。,Not: She is going to China.,
zrZLkC`BTn,家に来ています。,Somebody has come over to visit.,いえにきています。,Not: Somebody is coming over.,
OLN~Nn8(RG,トムさんは髪が長いです。,Tom has long hair.,トムさんはかみがながいです。,"(= As for Tom, he has long hair.)",
zDQTRHbOe-,あの店の食べ物は安くて、おいしいです。,The food at that restaurant is inexpensive and delicious.,あのみせのたべものはやすくて、おいしいです。,,
q[q|wrxDDD,ホテルはきれいで、よかったです。,"The hotel was clean, and we were happy.",ホテルはきれいで、よかったです。,,
LX8OTJiIKm,山下先生は日本人で、五十歳ぐらいです。,Professor Yamashita is a Japanese and he is about fifty years old.,やましたせんせいはにっぽんじんで、さいぐらいです。,,
Q/b@o]|.K,デパートにかばんを買いに行きました。,I went to a department store to buy a bag.,デパートにかばんをかいにいきました。,,
CgoONnls-a,メアリーさんは日本に日本語を勉強しに来ました。,Mary has come to Japan to study Japanese.,メアリーさんはにっぽんににほんごをべんきょうしにきました。,,
u)!Q45%L#D,私のクラスに（は）スウェーデン人の学生が一人います。,There is one Swedish student in our class.,わたしのクラスに（は）スウェーデン じんのがくせいが一にんいます。,,
